Station,StationName,Latitude,Longitude
MAL,Mallard Island,38.04280472,-121.9200897
ANH,Antioch,38.0178299,-121.8029633
RRI,Rough and Ready Island,37.963,-121.365
MRZ,Martinez,38.02763748,-122.1404877
