"ModelNumber","RMSE","Pearson","Rsquared","AICc","CorrectSign"
1,0.509540242895589,0.511010996257713,0.20572374651353,7856.58819554565,0.747389358528096
2,0.487014826400691,0.568664976198803,0.268561135292127,7013.89268214199,0.761437095972153
3,0.401742706717023,0.70790809579147,0.493038614217816,5602.47761285032,0.772998508204873
4,0.387800228611875,0.730984640494354,0.498211945226868,5571.88634125863,0.77312282446544
